#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2019-09-27 11:17:14
#
1 #_styr
80 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
3 #_spawn_month
1 #_Nsexes
10 #_Nages
1 #_Nareas
2 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1	1	2	0	Fishery	#_1
3	1 	1	1	0	Survey 	#_2
#_year	season	fleet	catch	catch_se
   30	1	1	      0	0.01	#_1         
   31	1	1	 319865	0.01	#_2         
   32	1	1	 249922	0.01	#_3         
   33	1	1	 215679	0.01	#_4         
   34	1	1	 220781	0.01	#_5         
   35	1	1	 216810	0.01	#_6         
   36	1	1	 203003	0.01	#_7         
   37	1	1	 193817	0.01	#_8         
   38	1	1	 185898	0.01	#_9         
   39	1	1	 180176	0.01	#_10        
   40	1	1	 176713	0.01	#_11        
   41	1	1	 175377	0.01	#_12        
   42	1	1	 182145	0.01	#_13        
   43	1	1	  64694	0.01	#_14        
   44	1	1	  78720	0.01	#_15        
   45	1	1	  91349	0.01	#_16        
   46	1	1	 103954	0.01	#_17        
   47	1	1	 116472	0.01	#_18        
   48	1	1	 127937	0.01	#_19        
   49	1	1	 137312	0.01	#_20        
   50	1	1	 140571	0.01	#_21        
   51	1	1	 138208	0.01	#_22        
   52	1	1	 136455	0.01	#_23        
   53	1	1	 135849	0.01	#_24        
   54	1	1	 140378	0.01	#_25        
   55	1	1	1018985	0.01	#_26        
   56	1	1	 424892	0.01	#_27        
   57	1	1	 157952	0.01	#_28        
   58	1	1	 101970	0.01	#_29        
   59	1	1	  73612	0.01	#_30        
   60	1	1	 141543	0.01	#_31        
   61	1	1	 185664	0.01	#_32        
   62	1	1	 315029	0.01	#_33        
   63	1	1	 324810	0.01	#_34        
   64	1	1	 278613	0.01	#_35        
   65	1	1	 245273	0.01	#_36        
   66	1	1	 174959	0.01	#_37        
   67	1	1	 178687	0.01	#_38        
   68	1	1	 156851	0.01	#_39        
   69	1	1	 249209	0.01	#_40        
   70	1	1	 328456	0.01	#_41        
   71	1	1	 366142	0.01	#_42        
   72	1	1	 264745	0.01	#_43        
   73	1	1	 240040	0.01	#_44        
   74	1	1	 270350	0.01	#_45        
   75	1	1	 268981	0.01	#_46        
   76	1	1	 245319	0.01	#_47        
   77	1	1	 309845	0.01	#_48        
   78	1	1	 202432	0.01	#_49        
   79	1	1	 254846	0.01	#_50        
-9999	0	0	      0	0.00	#_terminator
#_CPUE_and_surveyabundance_observations
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet	Units	Errtype	SD_Report
1	2	0	0	#_Fishery
2	1	0	0	#_Survey 
#
#_CPUE_data
#_year	seas	index	obs	se_log
   30	7	2	1102075	0.1	#_1         
   31	7	2	1323585	0.1	#_2         
   32	7	2	1337736	0.1	#_3         
   33	7	2	 880977	0.1	#_4         
   34	7	2	 454093	0.1	#_5         
   35	7	2	 339769	0.1	#_6         
   36	7	2	 186062	0.1	#_7         
   37	7	2	 145915	0.1	#_8         
   38	7	2	 128117	0.1	#_9         
   39	7	2	 111709	0.1	#_10        
   40	7	2	 164431	0.1	#_11        
   41	7	2	 204310	0.1	#_12        
   42	7	2	 209100	0.1	#_13        
   43	7	2	 305433	0.1	#_14        
   44	7	2	 380858	0.1	#_15        
   45	7	2	 484925	0.1	#_16        
   46	7	2	 521473	0.1	#_17        
   47	7	2	 527038	0.1	#_18        
   48	7	2	 446798	0.1	#_19        
   49	7	2	 462102	0.1	#_20        
   50	7	2	 374967	0.1	#_21        
   51	7	2	 324916	0.1	#_22        
   52	7	2	 323347	0.1	#_23        
   53	7	2	 242718	0.1	#_24        
   54	7	2	 221652	0.1	#_25        
   55	7	2	 323286	0.1	#_26        
   56	7	2	 379000	0.1	#_27        
   57	7	2	 572063	0.1	#_28        
   58	7	2	 863831	0.1	#_29        
   59	7	2	 970051	0.1	#_30        
   60	7	2	1141948	0.1	#_31        
   61	7	2	1173553	0.1	#_32        
   62	7	2	1456079	0.1	#_33        
   63	7	2	1586439	0.1	#_34        
   64	7	2	1269759	0.1	#_35        
   65	7	2	1084171	0.1	#_36        
   66	7	2	1141282	0.1	#_37        
   67	7	2	1086711	0.1	#_38        
   68	7	2	1047927	0.1	#_39        
   69	7	2	1231109	0.1	#_40        
   70	7	2	1074616	0.1	#_41        
   71	7	2	1409829	0.1	#_42        
   72	7	2	1131250	0.1	#_43        
   73	7	2	1210722	0.1	#_44        
   74	7	2	1209090	0.1	#_45        
